Image_Name	Instrument_ID	Image_Mid_Time	Exposure_Duration	Filter_Wheel1	Filter_Wheel2	Gain_Mode_ID	Instrument_Mode_ID	Data_Conversion_Type	Inst_Cmprs_Type	Shutter_State_ID	Observation_ID	Description	Detector_Temperature
N1671765802_1	ISSNA	2010357023609512	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
N1671765835_1	ISSNA	2010357023642781	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
N1671766222_1	ISSNA	2010357024309509	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
N1671766255_1	ISSNA	2010357024342778	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
N1671766642_1	ISSNA	2010357025009507	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.393318
N1671766675_1	ISSNA	2010357025042775	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
N1671767062_1	ISSNA	2010357025709504	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
N1671767095_1	ISSNA	2010357025742773	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
N1671767482_1	ISSNA	2010357030409501	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.543076
N1671767515_1	ISSNA	2010357030442770	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
