Image_Name	Instrument_ID	Image_Mid_Time	Exposure_Duration	Filter_Wheel1	Filter_Wheel2	Gain_Mode_ID	Instrument_Mode_ID	Data_Conversion_Type	Inst_Cmprs_Type	Shutter_State_ID	Observation_ID	Description	Detector_Temperature
N1671767902_1	ISSNA	2010357031109499	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
N1671767935_1	ISSNA	2010357031142767	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-89.318428
W1671768322_1	ISSWA	2010357031809816	40	CL1	BL1	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-87.895164
W1671768339_1	ISSWA	2010357031826838	5	CL1	GRN	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-87.970093
W1671768357_1	ISSWA	2010357031844658	380	MT2	CL2	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-87.895164
W1671768374_1	ISSWA	2010357031900851	2000	MT3	CL2	29 ELECTRONS PER DN	SUM4	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	Incomplete product finalized due to truncated lines.	-87.970093
W1671768391_1	ISSWA	2010357031918725	260	CB2	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB008_PRIME	N/A	-87.895164
N1671888263_1	ISSNA	2010358123709738	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.318428
N1671888296_1	ISSNA	2010358123743007	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.318428
N1671888743_1	ISSNA	2010358124509735	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.318428
N1671888776_1	ISSNA	2010358124543004	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.318428
N1671889223_1	ISSNA	2010358125309732	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.318428
N1671889256_1	ISSNA	2010358125343001	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.318428
N1671889703_1	ISSNA	2010358130109729	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.543076
N1671889736_1	ISSNA	2010358130142998	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.243546
N1671890183_1	ISSNA	2010358130909726	680	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.243546
N1671890216_1	ISSNA	2010358130942995	150	CL1	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-89.318428
W1671890663_1	ISSWA	2010358131710043	40	CL1	BL1	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-87.895164
W1671890680_1	ISSWA	2010358131727065	5	CL1	GRN	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-88.045021
W1671890698_1	ISSWA	2010358131744885	380	MT2	CL2	29 ELECTRONS PER DN	SUM2	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-87.895164
W1671890715_1	ISSWA	2010358131801079	2000	MT3	CL2	29 ELECTRONS PER DN	SUM4	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	Incomplete product finalized due to truncated lines.	-88.045021
W1671890732_1	ISSWA	2010358131818952	260	CB2	CL2	29 ELECTRONS PER DN	FULL	TABLE	LOSSLESS	ENABLED	ISS_142OT_SATELLORB009_PRIME	N/A	-87.895164
